# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
MEM.ramBytes,1761291968453000000,1761291992987000000,2956840960
JVM.totalSafepointCount,1761291968453000000,1761291992987000000,512
JVM.totalDirectByteBuffersBytes,1761291968453000000,1761291992987000000,48911690
JVM.GC.collections,1761291968453000000,1761291992987000000,61
JVM.maxHeapBytes,1761291968453000000,1761291992987000000,5754585088
JVM.committedHeapBytes,1761291968453000000,1761291992987000000,1342177280
Indexes.allKeys.lookupDurationMaxMs,1761291968453000000,1761291992987000000,4.0
Indexes.allKeys.lookups,1761291968453000000,1761291992987000000,1
Indexes.entries.lookupDurationAvgMs,1761291968453000000,1761291992987000000,0.031378551611977425
Indexing.totalTimeIndexersSleptMs,1761291968453000000,1761291992987000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1761291968453000000,1761291992987000000,0
Indexes.allKeys.lookupDuration90PMs,1761291968453000000,1761291992987000000,4.0
Indexes.entries.lookupDuration90PMs,1761291968453000000,1761291992987000000,0.0
Indexes.entries.lookupDurationMaxMs,1761291968453000000,1761291992987000000,23.0
Indexing.cache.totalCacheMisses,1761291968453000000,1761291992987000000,50491
Indexing.writer_2.totalTimeSpentWritingMs,1761291968453000000,1761291992987000000,0
Indexes.stubs.lookupDurationMaxMs,1761291968453000000,1761291992987000000,391.0
Indexing.cache.totalCacheEvicted,1761291968453000000,1761291992987000000,50491
Indexing.writer_3.totalTimeSpentWritingMs,1761291968453000000,1761291992987000000,0
Indexes.stubs.lookupDuration90PMs,1761291968453000000,1761291992987000000,0.0
Indexing.writesQueuedAvg,1761291968453000000,1761291992987000000,0.0
Indexes.stubs.lookups,1761291968453000000,1761291992987000000,129070
Indexing.writer_1.totalTimeSpentWritingMs,1761291968453000000,1761291992987000000,0
Indexes.stubs.lookupDurationAvgMs,1761291968453000000,1761291992987000000,0.07318932655654384
Indexing.writesQueuedMin,1761291968453000000,1761291992987000000,0
Indexes.allKeys.lookupDurationAvgMs,1761291968453000000,1761291992987000000,4.0
Indexing.writesQueuedMax,1761291968453000000,1761291992987000000,0
Indexing.cache.totalCacheAccesses,1761291968453000000,1761291992987000000,494799
Indexes.entries.lookups,1761291968453000000,1761291992987000000,10446
workspaceModel.cachedValue.calculated.count,1761291968453000000,1761291992987000000,14
workspaceModel.updates.ms,1761291968453000000,1761291992987000000,29
workspaceModel.workspaceFileIndexData.init.ms,1761291968453000000,1761291992987000000,106
workspaceModel.on.changed.ms,1761291968453000000,1761291992987000000,4
workspaceModel.replace.project.model.ms,1761291968453000000,1761291992987000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1761291968453000000,1761291992987000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1761291968453000000,1761291992987000000,0
workspaceModel.update.unloaded.entities.ms,1761291968453000000,1761291992987000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1761291968453000000,1761291992987000000,0
workspaceModel.to.snapshot.ms,1761291968453000000,1761291992987000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1761291968453000000,1761291992987000000,0
workspaceModel.cachedValue.clear.count,1761291968453000000,1761291992987000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1761291968453000000,1761291992987000000,0
workspaceModel.cachedValueWithParameters.clear.count,1761291968453000000,1761291992987000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1761291968453000000,1761291992987000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1761291968453000000,1761291992987000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1761291968453000000,1761291992987000000,0
workspaceModel.cachedValue.from.cache.count,1761291968453000000,1761291992987000000,263
