# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.set.counter,1761290948214000000,1761290972677000000,15
cacheStateStorage.get.counter,1761290948214000000,1761290972677000000,11
cacheStateStorage.get.duration,1761290948214000000,1761290972677000000,0
workspaceModel.full.replace.project.model.ms,1761290948214000000,1761290972677000000,2
workspaceModel.updates.count,1761290948214000000,1761290972677000000,3
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1761290948214000000,1761290972677000000,0
workspaceModel.cachedValue.total.get.count,1761290948214000000,1761290972677000000,218
workspaceModel.updates.precise.ms,1761290948214000000,1761290972677000000,7
workspaceModel.cachedValueWithParameters.calculated.count,1761290948214000000,1761290972677000000,0
workspaceModel.pre.handlers.ms,1761290948214000000,1761290972677000000,0
workspaceModel.loading.total.ms,1761290948214000000,1761290972677000000,110
workspaceModel.cachedValue.clear.count,1761290948214000000,1761290972677000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1761290948214000000,1761290972677000000,0
workspaceModel.updates.ms,1761290948214000000,1761290972677000000,26
workspaceModel.to.snapshot.ms,1761290948214000000,1761290972677000000,0
workspaceModel.cachedValue.calculated.count,1761290948214000000,1761290972677000000,12
workspaceModel.workspaceFileIndexData.getPackageName.ms,1761290948214000000,1761290972677000000,0
workspaceModel.replace.project.model.ms,1761290948214000000,1761290972677000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1761290948214000000,1761290972677000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1761290948214000000,1761290972677000000,0
workspaceModel.cachedValue.from.cache.count,1761290948214000000,1761290972677000000,206
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1761290948214000000,1761290972677000000,0
workspaceModel.loading.from.cache.ms,1761290948214000000,1761290972677000000,105
workspaceModel.on.before.changed.ms,1761290948214000000,1761290972677000000,13
workspaceModel.entityStorageSnapshotImpl.instances.count,1761290948214000000,1761290972677000000,20
workspaceModel.init.bridges.ms,1761290948214000000,1761290972677000000,1
workspaceModel.cachedValueWithParameters.clear.count,1761290948214000000,1761290972677000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1761290948214000000,1761290972677000000,0
workspaceModel.check.recursive.update.ms,1761290948214000000,1761290972677000000,1
workspaceModel.update.unloaded.entities.ms,1761290948214000000,1761290972677000000,0
workspaceModel.workspaceFileIndexData.instances.count,1761290948214000000,1761290972677000000,1
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1761290948214000000,1761290972677000000,0
workspaceModel.on.changed.ms,1761290948214000000,1761290972677000000,5
workspaceModel.initializing.ms,1761290948214000000,1761290972677000000,1
workspaceModel.collect.changes.ms,1761290948214000000,1761290972677000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1761290948214000000,1761290972677000000,199
workspaceModel.workspaceFileIndexData.init.ms,1761290948214000000,1761290972677000000,102
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1761290948214000000,1761290972677000000,511
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1761290948214000000,1761290972677000000,36
parser.textmate.time.ns,1761290948214000000,1761290972677000000,78292
parser.IgnoreLang.time.ns,1761290948214000000,1761290972677000000,8823750
lexer.IgnoreLang.time.ns,1761290948214000000,1761290972677000000,3791792
parser.CSS.size.bytes,1761290948214000000,1761290972677000000,217008
parser.RELAX-NG.time.ns,1761290948214000000,1761290972677000000,1035625
parser.RELAX-NG.size.bytes,1761290948214000000,1761290972677000000,117
parser.ECMAScript.6.size.bytes,1761290948214000000,1761290972677000000,1139841
parser.DTD.time.ns,1761290948214000000,1761290972677000000,18661166
lexer.JQuery-CSS.time.ns,1761290948214000000,1761290972677000000,6094916
parser.textmate.size.bytes,1761290948214000000,1761290972677000000,1290
lexer.SVG.size.bytes,1761290948214000000,1761290972677000000,4928
parser.ECMAScript.6.time.ns,1761290948214000000,1761290972677000000,281707481
writeAction.count,1761290948214000000,1761290972677000000,26
lexer.Shell.Script.size.bytes,1761290948214000000,1761290972677000000,35057
lexer.TypeScript.time.ns,1761290948214000000,1761290972677000000,15626335
parser.HTML.size.bytes,1761290948214000000,1761290972677000000,237518
parser.JSRegexp.time.ns,1761290948214000000,1761290972677000000,6256417
parser.SVG.size.bytes,1761290948214000000,1761290972677000000,4928
lexer.RELAX-NG.time.ns,1761290948214000000,1761290972677000000,1040375
lexer.CSS.size.bytes,1761290948214000000,1761290972677000000,217008
writeAction.max.wait.ms,1761290948214000000,1761290972677000000,171
parser.JSON.time.ns,1761290948214000000,1761290972677000000,197474417
parser.IgnoreLang.size.bytes,1761290948214000000,1761290972677000000,3522
DiskQueryRelay.taskExecutionTotalTimeUs,1761290948214000000,1761290972677000000,3547693
parser.yaml.time.ns,1761290948214000000,1761290972677000000,2353333
parser.JQuery-CSS.size.bytes,1761290948214000000,1761290972677000000,660
DiskQueryRelay.tasksRequested,1761290948214000000,1761290972677000000,7553
parser.CSS.time.ns,1761290948214000000,1761290972677000000,114735155
lexer.HTML.time.ns,1761290948214000000,1761290972677000000,73484750
lexer.SVG.time.ns,1761290948214000000,1761290972677000000,7090834
lexer.JSRegexp.time.ns,1761290948214000000,1761290972677000000,1317416
lexer.HTML.size.bytes,1761290948214000000,1761290972677000000,237518
parser.TypeScript.time.ns,1761290948214000000,1761290972677000000,74866072
lexer.JSRegexp.size.bytes,1761290948214000000,1761290972677000000,187
writeAction.wait.ms,1761290948214000000,1761290972677000000,202
lexer.ECMAScript.6.size.bytes,1761290948214000000,1761290972677000000,389141
parser.SVG.time.ns,1761290948214000000,1761290972677000000,3344166
parser.Shell.Script.size.bytes,1761290948214000000,1761290972677000000,35057
writeAction.median.wait.ms,1761290948214000000,1761290972677000000,100
DiskQueryRelay.taskWaitingTotalTimeUs,1761290948214000000,1761290972677000000,4095800
parser.TypeScript.size.bytes,1761290948214000000,1761290972677000000,167974
lexer.DTD.time.ns,1761290948214000000,1761290972677000000,13374458
lexer.textmate.size.bytes,1761290948214000000,1761290972677000000,1290
lexer.JSON.size.bytes,1761290948214000000,1761290972677000000,1118110
parser.Shell.Script.time.ns,1761290948214000000,1761290972677000000,131261917
lexer.ECMAScript.6.time.ns,1761290948214000000,1761290972677000000,56336707
parser.DTD.size.bytes,1761290948214000000,1761290972677000000,63096
lexer.yaml.time.ns,1761290948214000000,1761290972677000000,1174915
parser.JSON.size.bytes,1761290948214000000,1761290972677000000,1118110
lexer.Shell.Script.time.ns,1761290948214000000,1761290972677000000,9249584
parser.JSRegexp.size.bytes,1761290948214000000,1761290972677000000,187
lexer.textmate.time.ns,1761290948214000000,1761290972677000000,5750
parser.JQuery-CSS.time.ns,1761290948214000000,1761290972677000000,1645625
lexer.yaml.size.bytes,1761290948214000000,1761290972677000000,5116
lexer.CSS.time.ns,1761290948214000000,1761290972677000000,34237500
parser.HTML.time.ns,1761290948214000000,1761290972677000000,26510334
lexer.JQuery-CSS.size.bytes,1761290948214000000,1761290972677000000,660
lexer.JSON.time.ns,1761290948214000000,1761290972677000000,22019291
lexer.IgnoreLang.size.bytes,1761290948214000000,1761290972677000000,3522
lexer.RELAX-NG.size.bytes,1761290948214000000,1761290972677000000,117
parser.yaml.size.bytes,1761290948214000000,1761290972677000000,5116
DiskQueryRelay.tasksExecuted,1761290948214000000,1761290972677000000,7553
lexer.DTD.size.bytes,1761290948214000000,1761290972677000000,63096
lexer.TypeScript.size.bytes,1761290948214000000,1761290972677000000,87145
